리뷰,예측,확률
이번에 여행은 바로 여기로 다녀왔어요 친구를 오랜만에 만나서 어떻게 놀지 고민하다보니 급하게 박 일 일정이 되버렸어요 일주일 전이라 숙소도 급하게 잡았어야 했고 일정도 짜야해서 이래저래 바쁜 일주일이었어요 호텔은 일단 땡기는 곳이 없었고 주말에 가다보니 가격도 가격이더라구요 일정이 빡빡하다보니 호텔에 머물 시간도 없어서 간단하게 잘 숙소를 찾았어요 둘다 비싸더라도 깔끔하고 옛날느낌을 싫어해서 찾다보니 모텔이 됐네요 모텔은 진짜 오래 된 곳아니고선 리모델링도 자주 하고 인테리어가 깔끔하잖아요 그래서 고른곳이 바로여기엿다는 아주차장진짜넓어요,부정,0.2119
최고입니다 잘 쉬다가 갑니다,긍정,0.9372
항상 친절하시고 방도 깨끗해서 좋아요 컴터도 빠르고 아 오늘은 에어컨은 못틀겠더라구여,긍정,0.9227
침대가 편함 공기청정기도 잇음,긍정,0.9295
퇴실 안내전화도 없었고 자다 깨서 시간좀 안됐길래 봤더니 만원 나왔고 시간만 초과되도 만원 비쌈,긍정,0.8962
뭐랄까 음 분위기 조앗구여 일단 터미널이랑 가까이 잇어서 편해요 즐기기 좋은 그런 느낌이에요 좋았어요 그래도 뭐 나름 잘 쉬고 온거샃아서,긍정,0.9089
전에 깔끔하게 잘 이용했던 기억이 있어서 예약했는데 오늘은 조금 객실 청결이 아쉬웠어요 바닥 구석구석에 머리카락과 털들이침대 시트에는 빨았는데 안지워졌는지 모를 김치국물 얼룩까지프론트 전화 연결도 안되길래 크게 신경쓰이진 않아서 그냥 사용했습니다 늘은 이용할때 마다 느끼는 거지만 배수가 잘 안되는 것같아요 올때마다 세면대 물이 잘 안빠지네요오늘은 샤워기 수압도 너무 약했어요 그래도 그 외엔 깔끔하고 크게 불편한 점은 없어서 잘 머물다 갔습니다 바닥청소에 조금만 신경써주세요,부정,0.0664
음 뭐랄까 일단 오래된 곳인걸 알고 간거라 뭐 인테리어이런건 별로일 수 있음 너무 신축만 다니다 간거라 적응 안댐 글고 젤 중요한건 청소 상태 새 수건에 꼬불털이랑 머리카락 붙어 있어서 경악 음 응 끝 할많하않,긍정,0.8766
저번에도 컴퓨터가 고장이더니 이번에도 고장이네요 부팅은 되지만 어떤 프로그램도 설치가 되지 않습니다,긍정,0.9054
와 오늘 월 일인데 잠을 못자서 자려고 그나마 대실시간 긴곳 찾아갔는데 처음 받은 호가 에어컨이 안되서 호로 옮겼는데 자고 시 분쯤 퇴실하다보니 호에 왠 경찰들이 몰카나와서 왓다네요 나는 남자혼자와서 볼것도 없는데 안올리겟죠 처음에 받은방에서 분도 안되서 옮겼는데,긍정,0.8422
세면대 막힘 샤워기 파손되있음,긍정,0.9263
주말에 이용했었고 항상 순위로 방문하는곳이라 무난했습니다만 처음 예약한방은 담배냄새가 너무남아서 힘들어서 부득이하게 바꿔달라 요청했는데 별말 없이 바로 응대해주시는거보고 역시 항상 만족스러울수 밖에 없다고 생각되는 늘입니다 감사해요 놀다와서 힘든하루였는데 푹쉬었다 갑니다,긍정,0.8826
한달에한두번은 가는거같아요 여기가 중화산동에서 가성비 쩌는곳입니다 근처에바로 역전하래에서 한잔먹고 들어가면 딱입니다 방컨디션도좋고 그리고 전기장판이 좌우 개별이라 너무 좋아요 화장실도 깸긋 수압도 괜첞아여 침구도 깨끗해요 티비도잘나와요 이가격에 스타일러까지 진짜 중화산동은 여기로 한달에한두번은 가는거같아요 여기가 중화산동에서 가성비 쩌는곳입니다 근처에바로 역전하래에서 한잔먹고 들어가면 딱입니다 방컨디션도좋고 그리고 전기장판이 좌우 개별이라 너무 좋아요 화장실도 깸긋 수압도 괜첞아여 침구도 깨끗해요 티비도잘나와요 이가격에 스타일러까지 진짜 중화산동은 여기로,긍정,0.8581
전북대학교와 덕진공원 인근에 위치하여 접근성이 뛰어나고 주변에 다양한 맛집과 즐길 거리가 많아 편리했습니다 가격 대비 시설과 서비스가 우수하며 전반적으로 만족스러운 숙박이었습니다 침구류에서 별다른 냄새가 나지 않아 쾌적했습니다 특히 욕실이 넓고 따뜻한 물이 잘 나와서 샤워하기 편리했습니다 무료 도 제공되었는데 속도가 빨라 영상 시청이나 업무를 하는 데 전혀 불편함이 없었습니다 다만 인근에 유흥가가 있어 늦은 시간에는 약간의 소음이 들릴 수 있어서 주변 환경에 민감하신 분들은 참고하시면 좋을 것 같습니다,긍정,0.8667
카운터 여성분 친절하시고 방컨디션 매우만족입니다,긍정,0.926
가성비 갑이고 스타일러 안마의자 잘 이용했어용,긍정,0.9191
보일러가 안들어와서 밤에추워요,긍정,0.9298
깔끔하고 접근성도 좋고 친절하십니당,긍정,0.9313
현관문 천장이 뜯어져서 무서웠어여 그리고 티비도 안되구요 에어콘도 약풍은 안됨요 한시간 간격으로 테이블 아래에서 모더소리가 드리더라구요,긍정,0.8982
욕조도 크고 리뷰가 너무 좋길래 덥석 예약 했어여 근데 방에 들어가자마자 담배 쩌든내가 너무 심해도 넘 너무 너무 심했어요 지금까지 다녀본 호텔 모텔중에 가장 냄새가 심했어요 남편은 흡연자인데도 불구하고 최악이라고 했네여 한시간동안 환기를 했는데도 방에 벤 냄새 때문에 힘들었어요 밤 늦게 시에 체크인해서 어쩔수 없이 묵었지만 이제는 돈 더 내고 좋은 호텔에서 묵어야 겠다 결심했네요 욕실에는 물때가 심했고 구석구석 먼지들이 청소도 깔끔한 방 상태는 아니었어여 그냥 찝찝하게 잤습니다 그래도 폭심한 침구류와 전기정판이 있어서 따듯하게 잘수있어서 좋았어여 이 가격에 물때와 먼지들은 참을수 있지만 냄새만 해결 하신다면 좋을거 같네요,부정,0.0403
출장중 잘 쉬다갑니다,긍정,0.9324
현관문 천장이 뜯어져서 무서웠어여 그리고 티비도 안되구요 에어콘도 약풍은 안됨요 한시간 간격으로 테이블 아래에서 모더소리가 드리더라구요,긍정,0.8982
여기 한두번 온게 아닌데 대체적으로 방음이 잘안됩니다 새벽 내내 위층에서 뭐하는지 쿵쿵 발로 망치처럼 찍으면서 걷고 술먹는소리가 화장실로 들릴정도입니다 자다 세네번 깨서 제대로 못자고 나왔네요 평일 출장시에 이용했는데 그동안 어느정도는 감수했으나 이번에는 정말 잠을 제대로 잘수가 있어야죠 아쉽지만 재방문 이제 없습니다 새벽남자직원분 불친절도 한몫한듯,긍정,0.582
오우 업그레이드해주셔서 더 편하게 잘쉬다갑니당,긍정,0.9295
욕실이 별로였어요붉은색 물때인가 곰팡이가 욕조 여기저기에 있었어요 객실 사용후 욕실청소를 재대로 안하니 붉은곰팡이가 생겨 있겠죠,긍정,0.8908
침대에 먼지도 많았고 퀘퀘한 냄새와 전체적으로 청결하다는 느낌을 받지 못해서 조금 아쉬웠어요 침구류만 청결해도 계속 이용할 것 같아요,긍정,0.8958
저번주에 방문하고 편히 쉬다간 기억에 이번주도 다시 예약하고 방문했어용 방은 역시나 깔끔 청결 침대도 역시나 편안 침대랑 한몸이되어 편히 쉬다가욤 라면 뽀글이 맛 못잃어 다시 방문할거같아요,긍정,0.9009
우선 전주여행와서 잠만 잠시 잘꺼라 저렴한 곳으로 잡았어요 후기가 괜찮아서 예약했었는데 우선 위치가 정말 시내길 가운데 있어요 단점이자 장점이겠지만 도보로 이용하시는 분들은 좋을 것 같아요 하지만 차로는 매우 불편했어요 엄청 좁고 주차장이 정말정말 협소했어요 그리고 객실 안 위생은 쫌 별로였어요 벌레 자국은 엄청많은게 기본이고 침구류 화장실 등 깨끗한 편은 아니였어요 조금 찝찝했어요 방안에 들어가자말자 냄새가 많이 났고 수건도 그렇구요 내부도 많이 오래된 게 느껴지실꺼에요 엄청 옛날집 같다 생각하시면 될것같아요 화장실도요 뜨거운물도 엄청 오래 틀어나야 나오고 건조하고 추웠어요 아쉽지만 재방문의사는 없어요 정말 딱 잠만 잘 분들만 이용하세요,부정,0.0416
자주 애용합니다 여름 다가와서 에어컨 청소도 한번 싹 하시면 좋을것 같아요,긍정,0.9172
객실도 엄청 깔끔하고 사장님이 친절하세요 조식코너도 잘되어있어서 전주올 때 여기로 오면될 것 같아요,긍정,0.9188
깔끔해서 잘쉬다갑니다,긍정,0.9366
첨갈때보단 조금씩 나아지긴하네요 친절도만 청결도는 신경좀 써주세요,긍정,0.9117
항상 이용하는 호텔 친절해요 그래서 자주 이용해요,긍정,0.931
시원하게 잘 쉬다 갑니다 무더위에 에어칸 빵빵하게,긍정,0.9267
친절하고 좋아요,긍정,0.9388
편안하고 깨끗하게 있다 왔습니다,긍정,0.9354
깨끗하고 조용해서 푹 잘자고갑니다,긍정,0.9327
조식도 다 떨어져서 없다 하시고 욕조에 머리카락도 그대로고,긍정,0.9184
드럽습니다 드럽습니다 천장에 거미줄 가득있고 수건은 걸래같고 침구류는 구멍이 숭숭 뚫어져있고 와이파이도안되고 인터넷도 않됩니다 방에 인터넷이 안되서 바꺼달라고 했더니 방키도 안갔다주고 짐들고 층 왔다갔다하게 만들고 최악입니다 방이없다고해서 그럼 일행방에있을테니 연락달라고했는데 그것도 안해줘서 계속 왔다갔다 하게만들고 출장을 많이다니는데 이런숙소는 처음이네요 리뷰도 처음 써보네요 정말 비추입니다,부정,0.0777
직원분은 친절했으나 배정받은 방에 담배냄새가 심하게 나서 방을 바꿨습니다,긍정,0.9072
프리미엄으로 방을 잡았는데 제가 비흡연자인데 들어가자마자 담배냄새가 너무 많이 나고 바닥은 끈적끈적하고 양말이 시컴해 지고 화장실은 물때랑 곰팡이가 너무 많이 피여있고 너무 비위생적이여서 중간에 짐챙겨서 나와서 다른곳 다시 숙박잡고 잤습니다,긍정,0.8495
좋은방 주셔서 너무 잘 이용했어용 저번에는 따뜻한물 안나왔는데 이번에는 따뜻한물도 잘 나와서 좋았어용 수건은 좀 낡아서 교체되면 더 좋을 것 같아요 항상 잘 이용합니당 평일에는 저렴한 가격에 이용할 수 있어서 좋아용,긍정,0.9052
가성비 좋은 모텔입니다 깨끗하고 청결하고 모든 면에서 만족합니다 사장님도 친절하시고 방도 업그레이드 해주셔서 너무 좋았습니다 다음에 전주에 오믄 또 방문하겠습니다 항상 건강하시고 번창하세요,긍정,0.9225
객실은 괜찮게 잘 쉬었는데 카운터 보시는 아주머니 서비스는 엉망이었네요,긍정,0.9196
사장님은인상도 좋고 친절하세요 웃으며 말하시고 그런데 욕실바닥 방바닥왜이리 미끄럽나요 욕실 슬리퍼가 문제인듯요청소상태 별로 입니다 항상 남편과 금암동쪽으로 다니다가 다른동네 한번 가봤는데 담부턴 원래 다니던곳으로 가야겠어요 침대에 전기장판이 깔려 있어 따뜻했으나 위에 바로 홑겹 깔개때문에 뽀드득소리 방음도 잘 안되서 아쉬운점이 많았습니다,긍정,0.8347
시설짱 스타일러굿 이용잘했어요,긍정,0.9306
대실 후 청소가 잘 안된 것인지 침대보 교체 안됨 욕실에 물기 한가득 베게에서 땀에 찌든내 남 아침 시부터 바로옆 건물짓는 소리에 강제 기상 휴대폰 충전기조차 없음,긍정,0.8827
깨끗하고조으네요 청결해요,긍정,0.9343
전기장판잇어서 따뜻했어요 근데 밖이넘시끄러웠음 근처 주점이 많아서 새벽에 술먹고 돌아다니는 아저씨들 대로변이라 차소리 시끌창문을다닫았는데도시끌 이근처는거의 그런듯 그래도 따뜻한물 잘나오고 나머진조앗어요,긍정,0.8894
잘이용했슴니다 화장실 문이 안닫히고 열려서 좀 불편했네요 욕조와 침대가 같이 있는 구조도 독특했어요,긍정,0.9064
예약은 특실요금 냈는데 주말랜덤 객실이라고 일반실을 주네요 그럼 왜 돈을 더받고 예약을 받는건지 그리고 배개에서 담배냄새가 많이났고 에어컨바람이 침대로 바로오는데 먼지냄새도 많이났습니다 화장실 욕조바닥은 하얗지않고 누래서 사용하고싶지 않게 생겼습니다 리뷰 잘 안남기는데 너무 최악이라 리뷰남기네요 너무 냄새가 심해서 이용한지 시간도 안되서 나왔고 청결하다고 리뷰가 좋은편이던데 다 알바들인가싶네요,부정,0.0725
좋았어요 만족이에요 청결해요,긍정,0.9342
늦게 도착하여 들어갔는데 시설과 고객 응대는 잘 해주셨는데 청결 상태가 너무 안 좋았습니다 모텔이라는 특성때문에 이해 하려 했지만 그래도 너무 심한것 같아 경각심으로 올려 봅니다 사진에 보시면 화장실 청결 상태가 너무 좋지 않았습니다 늦은시간이라 방을 바꿀 수도 없고 저희 집사람이 화장실 청소를 하고 싰어야 하는 상황이였습니다 어쨌든 싰고 저희 아이 재우려고 이불을 펼치고 또 한번 경악 했습니다 시트에 머리카락과 피 이런것들이 그대로 묻어 있더라구요 이건 좀 아닌것 같아 아쉬운대로 한침대에서 셋이 같이자는 불편함까지 격어야 했습니다 기분좋게 여행 와서 좀 실망하게 되었네요 모텔이라는 특성은 이해 하지만 그래도 이런 것들은 좀 더 신경써 주셨으면 합니다,부정,0.0416
